School Year,District/LEA,SchoolName,SubjectArea,Subject,Percent Proficient
2015,ALPINE DISTRICT,SEGO LILY SCHOOL,L,4th Grade Language Arts,46.1%
2015,ALPINE DISTRICT,ROCKY MOUNTAIN SCHOOL,L,4th Grade Language Arts,50.6%
2015,ALPINE DISTRICT,MANILA SCHOOL,L,4th Grade Language Arts,59.7%
2015,ALPINE DISTRICT,SCERA PARK SCHOOL,L,4th Grade Language Arts,41.8%
2015,ALPINE DISTRICT,OREM SCHOOL,L,4th Grade Language Arts,51.5%
2015,ALPINE DISTRICT,LINDON SCHOOL,L,4th Grade Language Arts,44.2%
2015,ALPINE DISTRICT,NORTHRIDGE SCHOOL,L,4th Grade Language Arts,45.2%
2015,ALPINE DISTRICT,MEADOW SCHOOL,L,4th Grade Language Arts,52.0%
2015,ALPINE DISTRICT,ORCHARD SCHOOL,L,4th Grade Language Arts,47.8%
2015,ALPINE DISTRICT,LEHI SCHOOL,L,4th Grade Language Arts,31.1%
2015,ALPINE DISTRICT,LEGACY SCHOOL,L,4th Grade Language Arts,47.6%
2015,ALPINE DISTRICT,HILLCREST SCHOOL,L,4th Grade Language Arts,53.1%
2015,ALPINE DISTRICT,HIGHLAND SCHOOL,L,4th Grade Language Arts,65.0%
2015,ALPINE DISTRICT,GROVECREST SCHOOL,L,4th Grade Language Arts,37.2%
2015,ALPINE DISTRICT,GREENWOOD SCHOOL,L,4th Grade Language Arts,41.7%
2015,ALPINE DISTRICT,GENEVA SCHOOL,L,4th Grade Language Arts,29.9%
2015,ALPINE DISTRICT,FORBES SCHOOL,L,4th Grade Language Arts,42.9%
2015,ALPINE DISTRICT,EAGLECREST SCHOOL,L,4th Grade Language Arts,59.9%
2015,ALPINE DISTRICT,CHERRY HILL SCHOOL,L,4th Grade Language Arts,32.5%
2015,ALPINE DISTRICT,CENTRAL SCHOOL,L,4th Grade Language Arts,35.1%
2015,ALPINE DISTRICT,CEDAR VALLEY SCHOOL,L,4th Grade Language Arts,?20%
2015,ALPINE DISTRICT,CEDAR RIDGE SCHOOL,L,4th Grade Language Arts,54.7%
2015,ALPINE DISTRICT,CASCADE SCHOOL,L,4th Grade Language Arts,48.2%
2015,ALPINE DISTRICT,BONNEVILLE SCHOOL,L,4th Grade Language Arts,46.2%
2015,ALPINE DISTRICT,BARRATT SCHOOL,L,4th Grade Language Arts,33.8%
2015,ALPINE DISTRICT,ASPEN SCHOOL,L,4th Grade Language Arts,33.3%
2015,ALPINE DISTRICT,ALPINE SCHOOL,L,4th Grade Language Arts,46.3%
2015,ALPINE DISTRICT,ALPINE SCHOOL,L,5th Grade Language Arts,58.3%
2015,ALPINE DISTRICT,ASPEN SCHOOL,L,5th Grade Language Arts,48.4%
2015,ALPINE DISTRICT,BARRATT SCHOOL,L,5th Grade Language Arts,60.7%
2015,ALPINE DISTRICT,BONNEVILLE SCHOOL,L,5th Grade Language Arts,43.8%
2015,ALPINE DISTRICT,CASCADE SCHOOL,L,5th Grade Language Arts,45.1%
2015,ALPINE DISTRICT,CEDAR RIDGE SCHOOL,L,5th Grade Language Arts,59.7%
2015,ALPINE DISTRICT,CEDAR VALLEY SCHOOL,L,5th Grade Language Arts,?20%
2015,ALPINE DISTRICT,CENTRAL SCHOOL,L,5th Grade Language Arts,45.5%
2015,ALPINE DISTRICT,CHERRY HILL SCHOOL,L,5th Grade Language Arts,33.9%
2015,ALPINE DISTRICT,EAGLECREST SCHOOL,L,5th Grade Language Arts,45.5%
2015,ALPINE DISTRICT,FORBES SCHOOL,L,5th Grade Language Arts,45.5%
2015,ALPINE DISTRICT,GENEVA SCHOOL,L,5th Grade Language Arts,22.9%
2015,ALPINE DISTRICT,GREENWOOD SCHOOL,L,5th Grade Language Arts,45.0%
2015,ALPINE DISTRICT,GROVECREST SCHOOL,L,5th Grade Language Arts,59.4%
2015,ALPINE DISTRICT,HIGHLAND SCHOOL,L,5th Grade Language Arts,72.9%
2015,ALPINE DISTRICT,HILLCREST SCHOOL,L,5th Grade Language Arts,39.2%
2015,ALPINE DISTRICT,LEGACY SCHOOL,L,5th Grade Language Arts,53.4%
2015,ALPINE DISTRICT,LEHI SCHOOL,L,5th Grade Language Arts,41.3%
2015,ALPINE DISTRICT,ORCHARD SCHOOL,L,5th Grade Language Arts,52.9%
2015,ALPINE DISTRICT,MEADOW SCHOOL,L,5th Grade Language Arts,40.0%
2015,ALPINE DISTRICT,NORTHRIDGE SCHOOL,L,5th Grade Language Arts,46.9%
2015,ALPINE DISTRICT,LINDON SCHOOL,L,5th Grade Language Arts,55.6%
2015,ALPINE DISTRICT,OREM SCHOOL,L,5th Grade Language Arts,53.4%
2015,ALPINE DISTRICT,SCERA PARK SCHOOL,L,5th Grade Language Arts,47.5%
2015,ALPINE DISTRICT,MANILA SCHOOL,L,5th Grade Language Arts,54.8%
2015,ALPINE DISTRICT,ROCKY MOUNTAIN SCHOOL,L,5th Grade Language Arts,40.8%
2015,ALPINE DISTRICT,SEGO LILY SCHOOL,L,5th Grade Language Arts,55.8%
2015,ALPINE DISTRICT,SHARON SCHOOL,L,5th Grade Language Arts,27.3%
2015,ALPINE DISTRICT,SHELLEY SCHOOL,L,5th Grade Language Arts,59.5%
2015,ALPINE DISTRICT,SUNCREST SCHOOL,L,5th Grade Language Arts,34.8%
2015,ALPINE DISTRICT,VALLEY VIEW SCHOOL,L,5th Grade Language Arts,48.6%
2015,ALPINE DISTRICT,VINEYARD SCHOOL,L,5th Grade Language Arts,30.3%
2015,ALPINE DISTRICT,WESTMORE SCHOOL,L,5th Grade Language Arts,39.6%
2015,ALPINE DISTRICT,WINDSOR SCHOOL,L,5th Grade Language Arts,37.8%
2015,ALPINE DISTRICT,FOOTHILL SCHOOL,L,5th Grade Language Arts,69.7%
2015,ALPINE DISTRICT,MOUNT MAHOGANY SCHOOL,L,5th Grade Language Arts,38.0%
2015,ALPINE DISTRICT,SNOW SPRINGS SCHOOL,L,5th Grade Language Arts,46.7%
2015,ALPINE DISTRICT,WESTFIELD SCHOOL,L,5th Grade Language Arts,65.0%
2015,ALPINE DISTRICT,DEERFIELD SCHOOL,L,5th Grade Language Arts,51.8%
2015,ALPINE DISTRICT,PONY EXPRESS SCHOOL,L,5th Grade Language Arts,42.6%
2015,ALPINE DISTRICT,FREEDOM SCHOOL,L,5th Grade Language Arts,48.7%
2015,ALPINE DISTRICT,EAGLE VALLEY SCHOOL,L,5th Grade Language Arts,39.0%
2015,ALPINE DISTRICT,SARATOGA SHORES SCHOOL,L,5th Grade Language Arts,54.3%
2015,ALPINE DISTRICT,FOX HOLLOW SCHOOL,L,5th Grade Language Arts,43.7%
2015,ALPINE DISTRICT,HARVEST SCHOOL,L,5th Grade Language Arts,56.4%
2015,ALPINE DISTRICT,RIDGELINE SCHOOL,L,5th Grade Language Arts,51.7%
2015,ALPINE DISTRICT,ALPINE ONLINE SCHOOL,L,5th Grade Language Arts,50-59%
2015,ALPINE DISTRICT,HIDDEN HOLLOW SCHOOL,L,5th Grade Language Arts,51.2%
2015,ALPINE DISTRICT,NORTH POINT SCHOOL,L,5th Grade Language Arts,50.7%
2015,ALPINE DISTRICT,SAGE HILLS SCHOOL,L,5th Grade Language Arts,42.1%
2015,ALPINE DISTRICT,MOUNTAIN TRAILS SCHOOL,L,5th Grade Language Arts,32.6%
2015,ALPINE DISTRICT,TRAVERSE MOUNTAIN SCHOOL,L,5th Grade Language Arts,41.1%
2015,ALPINE DISTRICT,RIVERVIEW SCHOOL,L,5th Grade Language Arts,52.7%
2015,ALPINE DISTRICT,THUNDER RIDGE SCHOOL,L,5th Grade Language Arts,41.0%
2015,ALPINE DISTRICT,CHERRY HILL GT PROGRAM,L,5th Grade Language Arts,?90%
2015,ALPINE DISTRICT,DRY CREEK SCHOOL,L,5th Grade Language Arts,40.0%
2015,ALPINE DISTRICT,BLACK RIDGE SCHOOL,L,5th Grade Language Arts,40.2%
2015,ALPINE DISTRICT,BLACK RIDGE SCHOOL,L,6th Grade Language Arts,51.9%
2015,ALPINE DISTRICT,DRY CREEK SCHOOL,L,6th Grade Language Arts,50.0%
2015,ALPINE DISTRICT,CHERRY HILL GT PROGRAM,L,6th Grade Language Arts,?90%
2015,ALPINE DISTRICT,THUNDER RIDGE SCHOOL,L,6th Grade Language Arts,40.3%
2015,ALPINE DISTRICT,RIVERVIEW SCHOOL,L,6th Grade Language Arts,43.7%
2015,ALPINE DISTRICT,TRAVERSE MOUNTAIN SCHOOL,L,6th Grade Language Arts,44.9%
2015,ALPINE DISTRICT,MOUNTAIN TRAILS SCHOOL,L,6th Grade Language Arts,32.6%
2015,ALPINE DISTRICT,SAGE HILLS SCHOOL,L,6th Grade Language Arts,41.7%
2015,ALPINE DISTRICT,NORTH POINT SCHOOL,L,6th Grade Language Arts,44.4%
2015,ALPINE DISTRICT,HIDDEN HOLLOW SCHOOL,L,6th Grade Language Arts,58.8%
2015,ALPINE DISTRICT,ALPINE ONLINE SCHOOL,L,6th Grade Language Arts,40-49%
2015,ALPINE DISTRICT,RIDGELINE SCHOOL,L,6th Grade Language Arts,53.4%
2015,ALPINE DISTRICT,HARVEST SCHOOL,L,6th Grade Language Arts,47.5%
2015,ALPINE DISTRICT,FOX HOLLOW SCHOOL,L,6th Grade Language Arts,41.5%
2015,ALPINE DISTRICT,SARATOGA SHORES SCHOOL,L,6th Grade Language Arts,60.4%
2015,ALPINE DISTRICT,EAGLE VALLEY SCHOOL,L,6th Grade Language Arts,42.9%
2015,ALPINE DISTRICT,FREEDOM SCHOOL,L,6th Grade Language Arts,47.5%
2015,ALPINE DISTRICT,PONY EXPRESS SCHOOL,L,6th Grade Language Arts,38.6%
2015,ALPINE DISTRICT,DEERFIELD SCHOOL,L,6th Grade Language Arts,57.6%
2015,ALPINE DISTRICT,WESTFIELD SCHOOL,L,6th Grade Language Arts,66.1%
2015,ALPINE DISTRICT,SNOW SPRINGS SCHOOL,L,6th Grade Language Arts,43.3%
2015,ALPINE DISTRICT,MOUNT MAHOGANY SCHOOL,L,6th Grade Language Arts,39.3%
2015,ALPINE DISTRICT,FOOTHILL SCHOOL,L,6th Grade Language Arts,71.0%
2015,ALPINE DISTRICT,WINDSOR SCHOOL,L,6th Grade Language Arts,46.5%
2015,ALPINE DISTRICT,WESTMORE SCHOOL,L,6th Grade Language Arts,30.8%
2015,ALPINE DISTRICT,VINEYARD SCHOOL,L,6th Grade Language Arts,40.9%
2015,ALPINE DISTRICT,VALLEY VIEW SCHOOL,L,6th Grade Language Arts,53.1%
2015,ALPINE DISTRICT,SUNCREST SCHOOL,L,6th Grade Language Arts,8.7%
2015,ALPINE DISTRICT,SHELLEY SCHOOL,L,6th Grade Language Arts,68.3%
2015,ALPINE DISTRICT,SHARON SCHOOL,L,6th Grade Language Arts,29.6%
2015,ALPINE DISTRICT,SEGO LILY SCHOOL,L,6th Grade Language Arts,65.7%
2015,ALPINE DISTRICT,ROCKY MOUNTAIN SCHOOL,L,6th Grade Language Arts,65.8%
2015,ALPINE DISTRICT,MANILA SCHOOL,L,6th Grade Language Arts,50.0%
2015,ALPINE DISTRICT,SCERA PARK SCHOOL,L,6th Grade Language Arts,50.8%
2015,ALPINE DISTRICT,OREM SCHOOL,L,6th Grade Language Arts,52.0%
2015,ALPINE DISTRICT,LINDON SCHOOL,L,6th Grade Language Arts,56.0%
2015,ALPINE DISTRICT,NORTHRIDGE SCHOOL,L,6th Grade Language Arts,43.3%
2015,ALPINE DISTRICT,MEADOW SCHOOL,L,6th Grade Language Arts,46.4%
2015,ALPINE DISTRICT,ORCHARD SCHOOL,L,6th Grade Language Arts,58.0%
2015,ALPINE DISTRICT,LEHI SCHOOL,L,6th Grade Language Arts,43.4%
2015,ALPINE DISTRICT,LEGACY SCHOOL,L,6th Grade Language Arts,68.1%
2015,ALPINE DISTRICT,HILLCREST SCHOOL,L,6th Grade Language Arts,51.0%
2015,ALPINE DISTRICT,HIGHLAND SCHOOL,L,6th Grade Language Arts,76.6%
2015,ALPINE DISTRICT,GROVECREST SCHOOL,L,6th Grade Language Arts,46.0%
2015,ALPINE DISTRICT,GREENWOOD SCHOOL,L,6th Grade Language Arts,39.0%
2015,ALPINE DISTRICT,GENEVA SCHOOL,L,6th Grade Language Arts,33.8%
2015,ALPINE DISTRICT,FORBES SCHOOL,L,6th Grade Language Arts,54.8%
2015,ALPINE DISTRICT,EAGLECREST SCHOOL,L,6th Grade Language Arts,60.5%
2015,ALPINE DISTRICT,CHERRY HILL SCHOOL,L,6th Grade Language Arts,34.7%
2015,ALPINE DISTRICT,CENTRAL SCHOOL,L,6th Grade Language Arts,54.7%
2015,ALPINE DISTRICT,CEDAR VALLEY SCHOOL,L,6th Grade Language Arts,30-39%
2015,ALPINE DISTRICT,CEDAR RIDGE SCHOOL,L,6th Grade Language Arts,72.1%
2015,ALPINE DISTRICT,CASCADE SCHOOL,L,6th Grade Language Arts,57.3%
2015,ALPINE DISTRICT,BONNEVILLE SCHOOL,L,6th Grade Language Arts,44.6%
2015,ALPINE DISTRICT,BARRATT SCHOOL,L,6th Grade Language Arts,54.9%
2015,ALPINE DISTRICT,ASPEN SCHOOL,L,6th Grade Language Arts,40.0%
2015,ALPINE DISTRICT,ALPINE SCHOOL,L,6th Grade Language Arts,47.8%
2015,ALPINE DISTRICT,AMERICAN FORK JR HIGH,L,7th Grade Language Arts,53.5%
2015,ALPINE DISTRICT,CANYON VIEW JR HIGH,L,7th Grade Language Arts,52.7%
2015,ALPINE DISTRICT,LAKERIDGE JR HIGH,L,7th Grade Language Arts,54.2%
2015,ALPINE DISTRICT,LEHI JR HIGH,L,7th Grade Language Arts,51.9%
2015,ALPINE DISTRICT,MOUNTAIN RIDGE JR HIGH,L,7th Grade Language Arts,63.0%
2015,ALPINE DISTRICT,OAK CANYON JR HIGH,L,7th Grade Language Arts,54.8%
2015,ALPINE DISTRICT,OREM JR HIGH,L,7th Grade Language Arts,31.0%
2015,ALPINE DISTRICT,PLEASANT GROVE JR HIGH,L,7th Grade Language Arts,50.4%
2015,ALPINE DISTRICT,SUMMIT HIGH,L,7th Grade Language Arts,N<10
2015,ALPINE DISTRICT,TIMBERLINE MIDDLE,L,7th Grade Language Arts,58.6%
2015,ALPINE DISTRICT,WILLOWCREEK MIDDLE,L,7th Grade Language Arts,43.0%
2015,ALPINE DISTRICT,ALPINE ONLINE SCHOOL,L,7th Grade Language Arts,?20%
2015,ALPINE DISTRICT,VISTA HEIGHTS MIDDLE,L,7th Grade Language Arts,50.1%
2015,ALPINE DISTRICT,FRONTIER MIDDLE SCHOOL,L,7th Grade Language Arts,46.1%
2015,ALPINE DISTRICT,FRONTIER MIDDLE SCHOOL,L,8th Grade Language Arts,45.5%
2015,ALPINE DISTRICT,VISTA HEIGHTS MIDDLE,L,8th Grade Language Arts,47.9%
2015,ALPINE DISTRICT,ALPINE ONLINE SCHOOL,L,8th Grade Language Arts,21-29%
2015,ALPINE DISTRICT,WILLOWCREEK MIDDLE,L,8th Grade Language Arts,39.4%
2015,ALPINE DISTRICT,TIMBERLINE MIDDLE,L,8th Grade Language Arts,59.2%
2015,ALPINE DISTRICT,SUMMIT HIGH,L,8th Grade Language Arts,N<10
2015,ALPINE DISTRICT,PLEASANT GROVE JR HIGH,L,8th Grade Language Arts,51.4%
2015,ALPINE DISTRICT,OREM JR HIGH,L,8th Grade Language Arts,42.0%
2015,ALPINE DISTRICT,OAK CANYON JR HIGH,L,8th Grade Language Arts,46.3%
2015,ALPINE DISTRICT,MOUNTAIN RIDGE JR HIGH,L,8th Grade Language Arts,57.4%
2015,ALPINE DISTRICT,LEHI JR HIGH,L,8th Grade Language Arts,45.8%
2015,ALPINE DISTRICT,LAKERIDGE JR HIGH,L,8th Grade Language Arts,64.0%
2015,ALPINE DISTRICT,CANYON VIEW JR HIGH,L,8th Grade Language Arts,47.0%
2015,ALPINE DISTRICT,AMERICAN FORK JR HIGH,L,8th Grade Language Arts,53.4%
2015,ALPINE DISTRICT,AMERICAN FORK JR HIGH,L,9th Grade Language Arts,57.7%
2015,ALPINE DISTRICT,CANYON VIEW JR HIGH,L,9th Grade Language Arts,55.7%
2015,ALPINE DISTRICT,LAKERIDGE JR HIGH,L,9th Grade Language Arts,62.8%
2015,ALPINE DISTRICT,LEHI JR HIGH,L,9th Grade Language Arts,52.7%
2015,ALPINE DISTRICT,MOUNTAIN RIDGE JR HIGH,L,9th Grade Language Arts,60.4%
